x,y,z
668858,266.942,0.00801447
668857,266.943,0.0128361
668856,266.943,0.0128361
668862,267.05,0.00809718
668861,267.05,0.00809718
668859,267.05,0.0088416
668858,267.05,0.0088416
668857,267.05,0.0257925
668856,267.05,0.0257925
668862,267.157,0.0145369
668861,267.157,0.0145369
668859,267.157,0.00742028
668858,267.157,0.00742028
668857,267.157,0.0125587
668856,267.157,0.0125587
668862,267.264,0.0120682
668861,267.264,0.0120682
668859,267.264,0.0100539
668858,267.264,0.0100539
668857,267.264,0.00966294
668856,267.265,0.00966294
668862,267.371,0.00889743
668861,267.372,0.00889743
668859,267.372,0.00875839
668858,267.372,0.00875839
668857,267.372,0.00976158
668856,267.372,0.00976158
668862,267.479,0.00732585
668861,267.479,0.00732585
668859,267.479,0.0098381
668858,267.479,0.0098381
668857,267.479,0.0103442
668856,267.479,0.0103442
668862,267.586,0.0103937
668861,267.586,0.0103937
668859,267.586,0.00841228
668858,267.586,0.00841228
668857,267.586,0.0107701
668856,267.586,0.0107701
668862,267.693,0.00864334
668861,267.693,0.00864334
668859,267.693,0.0100642
668858,267.693,0.0100642
668857,267.693,0.00839395
668856,267.694,0.00839395
668862,267.8,0.00926401
668861,267.801,0.00926401
668859,267.801,0.0104007
668858,267.801,0.0104007
668857,267.801,0.0152876
668856,267.801,0.0152876
668862,267.908,0.00917828
668861,267.908,0.00917828
668859,267.908,0.00693407
668858,267.908,0.00693407
668857,267.908,0.00810216
668856,267.908,0.00810216
668862,268.011,0.00752223
668861,268.011,0.00752223
668859,268.011,0.00918283
668858,268.011,0.00918283
668857,268.011,0.00871445
668856,268.011,0.00871445
668862,268.102,0.0137265
668861,268.102,0.0137265
668859,268.102,0.0105218
668858,268.102,0.0105218
668857,268.102,0.0131441
668856,268.102,0.0131441
668855,261.688,0.00875633
668855,261.688,0.00875633
668853,261.688,0.0269213
668852,261.688,0.0269213
668851,261.688,0.0104246
668850,261.688,0.0104246
668849,261.688,0.00795071
668848,261.688,0.00795071
668846,261.688,0.00835911
668845,261.688,0.00835911
668844,261.688,0.00755078
668843,261.688,0.00755078
668842,261.688,0.00833958
668841,261.689,0.00833958
668839,261.689,0.0157531
668855,261.795,0.0157531
668855,261.795,0.0116003
668853,261.795,0.0116003
668852,261.795,0.00810475
668851,261.795,0.00810475
668850,261.795,0.00906739
668849,261.795,0.00906739
668848,261.795,0.00819792
668846,261.795,0.00819792
668845,261.796,0.00844885
668844,261.796,0.00844885
668843,261.796,0.0067362
668842,261.796,0.0067362
668841,261.796,0.00810491
668839,261.796,0.00810491
668855,261.902,0.0109108
668855,261.902,0.0109108
668853,261.902,0.00974993
668852,261.902,0.00974993
668851,261.903,0.00695309
668850,261.903,0.00695309
668849,261.903,0.0103395
668848,261.903,0.0103395
668846,261.903,0.00888723
668845,261.903,0.00888723
668844,261.903,0.0120425
668843,261.903,0.0120425
668842,261.903,0.00764244
668841,261.903,0.00764244
668839,261.903,0.00902762
668855,262.01,0.00902762
668855,262.01,0.00874445
668853,262.01,0.00874445
668852,262.01,0.011123
668851,262.01,0.011123
668850,262.01,0.0106561
668849,262.01,0.0106561
668848,262.01,0.0103814
668846,262.01,0.0103814
668845,262.01,0.0161968
668844,262.01,0.0161968
668843,262.01,0.00736287
668842,262.01,0.00736287
668841,262.01,0.0126691
668839,262.01,0.0126691
668855,262.117,0.00792113
668855,262.117,0.00792113
668853,262.117,0.0107295
668852,262.117,0.0107295
668851,262.117,0.00922857
668850,262.117,0.00922857
668849,262.117,0.00891851
668848,262.117,0.00891851
668846,262.117,0.0107008
668845,262.117,0.0107008
668844,262.117,0.00773727
668843,262.117,0.00773727
668842,262.117,0.010845
668841,262.117,0.010845
668839,262.118,0.00834385
668855,262.224,0.00834385
668855,262.224,0.00775519
668853,262.224,0.00775519
668852,262.224,0.00836684
668851,262.224,0.00836684
668850,262.224,0.028384
668849,262.224,0.028384
668848,262.224,0.0211843
668846,262.224,0.0211843
668845,262.225,0.0083987
668844,262.225,0.0083987
668843,262.225,0.010555
668842,262.225,0.010555
668841,262.225,0.0084236
668839,262.225,0.0084236
668855,262.331,0.0108041
668855,262.331,0.0108041
668853,262.331,0.0127226
668852,262.331,0.0127226
668851,262.331,0.00863986
668850,262.332,0.00863986
668849,262.332,0.00989754
668848,262.332,0.00989754
668846,262.332,0.0103289
668845,262.332,0.0103289
668844,262.332,0.0146079
668843,262.332,0.0146079
668842,262.332,0.010743
668841,262.332,0.010743
668839,262.332,0.00628414
668855,262.439,0.00628414
668855,262.439,0.0215362
668853,262.439,0.0215362
668852,262.439,0.00842654
668851,262.439,0.00842654
668850,262.439,0.00768446
668849,262.439,0.00768446
668848,262.439,0.0162658
668846,262.439,0.0162658
668845,262.439,0.00985014
668844,262.439,0.00985014
668843,262.439,0.00868895
668842,262.439,0.00868895
668841,262.439,0.00852554
668839,262.439,0.00852554
668855,262.546,0.0099698
668855,262.546,0.0099698
668853,262.546,0.0211517
668852,262.546,0.0211517
668851,262.546,0.0097914
668850,262.546,0.0097914
668849,262.546,0.00867208
668848,262.546,0.00867208
668846,262.546,0.00824728
668845,262.546,0.00824728
668844,262.546,0.00858942
668843,262.546,0.00858942
668842,262.546,0.00801885
668841,262.546,0.00801885
668839,262.546,0.00824256
668855,262.653,0.00824256
668855,262.653,0.00917013
668853,262.653,0.00917013
668852,262.653,0.0116937
668851,262.653,0.0116937
668850,262.653,0.0223367
668849,262.653,0.0223367
668848,262.653,0.00897816
668846,262.653,0.00897816
668845,262.653,0.00715928
668844,262.654,0.00715928
668843,262.654,0.0068575
668842,262.654,0.0068575
668841,262.654,0.00647303
668839,262.654,0.00647303
668855,262.76,0.00828636
668855,262.76,0.00828636
668853,262.76,0.00976149
668852,262.76,0.00976149
668851,262.76,0.0096726
668850,262.761,0.0096726
668849,262.761,0.00814379
668848,262.761,0.00814379
668846,262.761,0.0127991
668845,262.761,0.0127991
668844,262.761,0.0213085
668843,262.761,0.0213085
668842,262.761,0.00996106
668841,262.761,0.00996106
668839,262.761,0.0123673
668855,262.868,0.0123673
668855,262.868,0.0293166
668853,262.868,0.0293166
668852,262.868,0.0140753
668851,262.868,0.0140753
668850,262.868,0.00812782
668849,262.868,0.00812782
668848,262.868,0.00945617
668846,262.868,0.00945617
668845,262.868,0.00995541
668844,262.868,0.00995541
668843,262.868,0.0163518
668842,262.868,0.0163518
668841,262.868,0.00823633
668839,262.868,0.00823633
668855,262.975,0.00818895
668855,262.975,0.00818895
668853,262.975,0.0105116
668852,262.975,0.0105116
668851,262.975,0.0114338
668850,262.975,0.0114338
668849,262.975,0.00780486
668848,262.975,0.00780486
668846,262.975,0.00982822
668845,262.975,0.00982822
668844,262.975,0.0112224
668843,262.975,0.0112224
668842,262.975,0.00780361
668841,262.975,0.00780361
668839,262.976,0.0117553
668855,263.082,0.0117553
668855,263.082,0.0105775
668853,263.082,0.0105775
668852,263.082,0.0108865
668851,263.082,0.0108865
668850,263.082,0.0104132
668849,263.082,0.0104132
668848,263.082,0.0240277
668846,263.082,0.0240277
668845,263.082,0.0115078
668844,263.083,0.0115078
668843,263.083,0.0148694
668842,263.083,0.0148694
668841,263.083,0.0122473
668839,263.083,0.0122473
668855,263.189,0.0081354
668855,263.189,0.0081354
668853,263.189,0.0114621
668852,263.189,0.0114621
668851,263.189,0.0113306
668850,263.19,0.0113306
668849,263.19,0.00859639
668848,263.19,0.00859639
668846,263.19,0.0213777
668845,263.19,0.0213777
668844,263.19,0.0105679
668843,263.19,0.0105679
668842,263.19,0.0109796
668841,263.19,0.0109796
668839,263.19,0.0177718
668855,263.297,0.0177718
668855,263.297,0.00916667
668853,263.297,0.00916667
668852,263.297,0.0313383
668851,263.297,0.0313383
668850,263.297,0.0170463
668849,263.297,0.0170463
668848,263.297,0.0110921
668846,263.297,0.0110921
668845,263.297,0.0117632
668844,263.297,0.0117632
668843,263.297,0.0111496
668842,263.297,0.0111496
668841,263.297,0.016372
668839,263.297,0.016372
668855,263.404,0.0106394
668855,263.404,0.0106394
668853,263.404,0.0110906
668852,263.404,0.0110906
668851,263.404,0.0116173
668850,263.404,0.0116173
668849,263.404,0.00742965
668848,263.404,0.00742965
668846,263.404,0.0205312
668845,263.404,0.0205312
668844,263.404,0.0113439
668843,263.404,0.0113439
668842,263.404,0.0115484
668841,263.404,0.0115484
668839,263.404,0.0165236
668855,263.511,0.0165236
668855,263.511,0.00853869
668853,263.511,0.00853869
668852,263.511,0.0111902
668851,263.511,0.0111902
668850,263.511,0.0147989
668849,263.511,0.0147989
668848,263.511,0.0164812
668846,263.511,0.0164812
668845,263.511,0.00675383
668844,263.512,0.00675383
668843,263.512,0.011031
668842,263.512,0.011031
668841,263.512,0.018854
668839,263.512,0.018854
668855,263.618,0.00884208
668855,263.618,0.00884208
668853,263.618,0.0113213
668852,263.618,0.0113213
668851,263.618,0.013042
668850,263.618,0.013042
668849,263.619,0.007206
668848,263.619,0.007206
668846,263.619,0.00757971
668845,263.619,0.00757971
668844,263.619,0.00936482
668843,263.619,0.00936482
668842,263.619,0.0107852
668841,263.619,0.0107852
668839,263.619,0.0072321
668855,263.725,0.0072321
668855,263.726,0.0109627
668853,263.726,0.0109627
668852,263.726,0.012657
668851,263.726,0.012657
668850,263.726,0.0155959
668849,263.726,0.0155959
668848,263.726,0.0107449
668846,263.726,0.0107449
668845,263.726,0.00723459
668844,263.726,0.00723459
668843,263.726,0.0106092
668842,263.726,0.0106092
668841,263.726,0.0159872
668839,263.726,0.0159872
668855,263.833,0.0266496
668855,263.833,0.0266496
668853,263.833,0.0341507
668852,263.833,0.0341507
668851,263.833,0.0321856
668850,263.833,0.0321856
668849,263.833,0.0171664
668848,263.833,0.0171664
668846,263.833,0.0157405
668845,263.833,0.0157405
668844,263.833,0.0108676
668843,263.834,0.0108676
668842,263.834,0.0146345
668841,263.834,0.0146345
668839,263.834,0.0355538
668855,263.94,0.0355538
668855,263.94,0.0108642
668853,263.94,0.0108642
668852,263.94,0.0082107
668851,263.94,0.0082107
668850,263.94,0.0077917
668849,263.94,0.0077917
668848,263.94,0.0109803
668846,263.94,0.0109803
668845,263.94,0.0352724
668844,263.94,0.0352724
668843,263.94,0.0103519
668842,263.94,0.0103519
668841,263.94,0.0108931
668839,263.94,0.0108931
668855,264.047,0.0171433
668855,264.047,0.0171433
668853,264.047,0.00679835
668852,264.047,0.00679835
668851,264.047,0.00716204
668850,264.047,0.00716204
668849,264.048,0.0109005
668848,264.048,0.0109005
668846,264.048,0.0104256
668845,264.048,0.0104256
668844,264.048,0.0335822
668843,264.048,0.0335822
668842,264.048,0.0110635
668841,264.048,0.0110635
668839,264.048,0.00674463
668855,264.154,0.00674463
668855,264.154,0.0171193
668853,264.155,0.0171193
668852,264.155,0.0275652
668851,264.155,0.0275652
668850,264.155,0.0363183
668849,264.155,0.0363183
668848,264.155,0.0089467
668846,264.155,0.0089467
668845,264.155,0.016946
668844,264.155,0.016946
668843,264.155,0.0112577
668842,264.155,0.0112577
668841,264.155,0.00997364
668839,264.155,0.00997364
668855,264.262,0.0186442
668855,264.262,0.0186442
668853,264.262,0.0069756
668852,264.262,0.0069756
668851,264.262,0.00746417
668850,264.262,0.00746417
668849,264.262,0.0108699
668848,264.262,0.0108699
668846,264.262,0.02027
668845,264.262,0.02027
668844,264.262,0.0118064
668843,264.263,0.0118064
668842,264.263,0.0127267
668841,264.263,0.0127267
668839,264.263,0.00996885
668855,264.369,0.00996885
668855,264.369,0.0114418
668853,264.369,0.0114418
668852,264.369,0.00961829
668851,264.369,0.00961829
668850,264.369,0.0124595
668849,264.369,0.0124595
668848,264.369,0.0235861
668846,264.369,0.0235861
668845,264.369,0.00996691
668844,264.369,0.00996691
668843,264.369,0.0356657
668842,264.369,0.0356657
668841,264.369,0.0113334
668839,264.369,0.0113334
668855,264.476,0.031269
668855,264.476,0.031269
668853,264.476,0.0359777
668852,264.476,0.0359777
668851,264.476,0.012511
668850,264.476,0.012511
668849,264.476,0.00968251
668848,264.476,0.00968251
668846,264.476,0.0212381
668845,264.476,0.0212381
668844,264.476,0.0113443
668843,264.477,0.0113443
668842,264.477,0.00844018
668841,264.477,0.00844018
668839,264.477,0.0105271
668855,264.583,0.0105271
668855,264.583,0.0127621
668853,264.584,0.0127621
668852,264.584,0.0303263
668851,264.584,0.0303263
668850,264.584,0.0105269
668849,264.584,0.0105269
668848,264.584,0.0117565
668846,264.584,0.0117565
668845,264.584,0.0105143
668844,264.584,0.0105143
668843,264.584,0.015867
668842,264.584,0.015867
668841,264.584,0.0103808
668839,264.584,0.0103808
668855,264.691,0.0119383
668855,264.691,0.0119383
668853,264.691,0.0120581
668852,264.691,0.0120581
668851,264.691,0.00926303
668850,264.691,0.00926303
668849,264.691,0.0107338
668848,264.691,0.0107338
668846,264.691,0.0110474
668845,264.691,0.0110474
668844,264.691,0.0120828
668843,264.691,0.0120828
668842,264.691,0.0108624
668841,264.691,0.0108624
668839,264.691,0.0154759
668855,264.798,0.0154759
668855,264.798,0.0121186
668853,264.798,0.0121186
668852,264.798,0.0111005
668851,264.798,0.0111005
668850,264.798,0.00664697
668849,264.798,0.00664697
668848,264.798,0.0223271
668846,264.798,0.0223271
668845,264.798,0.00701067
668844,264.798,0.00701067
668843,264.798,0.0123161
668842,264.798,0.0123161
668841,264.798,0.0109892
668839,264.798,0.0109892
668855,264.905,0.0126104
668855,264.905,0.0126104
668853,264.905,0.0261116
668852,264.905,0.0261116
668851,264.905,0.012636
668850,264.905,0.012636
668849,264.905,0.0293627
668848,264.906,0.0293627
668846,264.906,0.0122359
668845,264.906,0.0122359
668844,264.906,0.012628
668843,264.906,0.012628
668842,264.906,0.0126838
668841,264.906,0.0126838
668839,264.906,0.0381777
668855,265.012,0.0381777
668855,265.012,0.0118347
668853,265.012,0.0118347
668852,265.013,0.0128242
668851,265.013,0.0128242
668850,265.013,0.0120133
668849,265.013,0.0120133
668848,265.013,0.0126329
668846,265.013,0.0126329
668845,265.013,0.0284447
668844,265.013,0.0284447
668843,265.013,0.015057
668842,265.013,0.015057
668841,265.013,0.0122154
668839,265.013,0.0122154
668855,265.12,0.00646203
668855,265.12,0.00646203
668853,265.12,0.0118951
668852,265.12,0.0118951
668851,265.12,0.0116608
668850,265.12,0.0116608
668849,265.12,0.0133402
668848,265.12,0.0133402
668846,265.12,0.0279585
668845,265.12,0.0279585
668844,265.12,0.0126142
668843,265.12,0.0126142
668842,265.12,0.0117356
668841,265.12,0.0117356
668839,265.12,0.010988
668855,265.227,0.010988
668855,265.227,0.0106957
668853,265.227,0.0106957
668852,265.227,0.0109086
668851,265.227,0.0109086
668850,265.227,0.0250281
668849,265.227,0.0250281
668848,265.227,0.011553
668846,265.227,0.011553
668845,265.227,0.0121813
668844,265.227,0.0121813
668843,265.227,0.0114425
668842,265.228,0.0114425
668841,265.228,0.0118668
668839,265.228,0.0118668
668855,265.334,0.0140079
668855,265.334,0.0140079
668853,265.334,0.011515
668852,265.334,0.011515
668851,265.334,0.0118922
668850,265.334,0.0118922
668849,265.334,0.0121314
668848,265.335,0.0121314
668846,265.335,0.0117366
668845,265.335,0.0117366
668844,265.335,0.0119625
668843,265.335,0.0119625
668842,265.335,0.0109607
668841,265.335,0.0109607
668839,265.335,0.0357737
668855,265.441,0.0357737
668855,265.441,0.0224855
668853,265.441,0.0224855
668852,265.442,0.0107072
668851,265.442,0.0107072
668850,265.442,0.0408137
668849,265.442,0.0408137
668848,265.442,0.0117395
668846,265.442,0.0117395
668845,265.442,0.0119827
668844,265.442,0.0119827
668843,265.442,0.0107966
668842,265.442,0.0107966
668841,265.442,0.00768505
668839,265.442,0.00768505
668855,265.548,0.0105035
668855,265.548,0.0105035
668853,265.548,0.00811911
668852,265.549,0.00811911
668851,265.549,0.0402846
668850,265.549,0.0402846
668849,265.549,0.0106045
668848,265.549,0.0106045
668846,265.549,0.031527
668845,265.549,0.031527
668844,265.549,0.00586224
668843,265.549,0.00586224
668842,265.549,0.010364
668841,265.549,0.010364
668839,265.549,0.0115188
668855,265.656,0.0115188
668855,265.656,0.00838955
668853,265.656,0.00838955
668852,265.656,0.0349384
668851,265.656,0.0349384
668850,265.656,0.0248025
668849,265.656,0.0248025
668848,265.656,0.0346206
668846,265.657,0.0346206
668845,265.657,0.0345202
668844,265.657,0.0345202
668843,265.657,0.0231981
668842,265.657,0.0231981
668841,265.657,0.0103093
668839,265.657,0.0103093
668855,265.763,0.0114341
668855,265.763,0.0114341
668853,265.763,0.0113626
668852,265.764,0.0113626
668851,265.764,0.011487
668850,265.764,0.011487
668849,265.764,0.033776
668848,265.764,0.033776
668846,265.764,0.0138138
668845,265.764,0.0138138
668844,265.764,0.00989329
668843,265.764,0.00989329
668842,265.764,0.0337331
668841,265.764,0.0337331
668839,265.764,0.0138132
668855,265.87,0.0138132
668855,265.87,0.0123834
668853,265.87,0.0123834
668852,265.87,0.0101242
668851,265.87,0.0101242
668850,265.87,0.00704649
668849,265.87,0.00704649
668848,265.87,0.0101721
668846,265.871,0.0101721
668845,265.871,0.0115001
668844,265.871,0.0115001
668843,265.871,0.00591232
668842,265.871,0.00591232
668841,265.871,0.0106995
668839,265.871,0.0106995
668855,265.977,0.0374613
668855,265.977,0.0374613
668853,265.977,0.0116749
668852,265.978,0.0116749
668851,265.978,0.0118054
668850,265.978,0.0118054
668849,265.978,0.010765
668848,265.978,0.010765
668846,265.978,0.0305428
668845,265.978,0.0305428
668844,265.978,0.00709289
668843,265.978,0.00709289
668842,265.978,0.0332402
668841,265.978,0.0332402
668839,265.978,0.00982442
668855,266.085,0.00982442
668855,266.085,0.0125434
668853,266.085,0.0125434
668852,266.085,0.0447093
668851,266.085,0.0447093
668850,266.085,0.0111052
668849,266.085,0.0111052
668848,266.085,0.0105981
668846,266.085,0.0105981
668845,266.085,0.0102451
668844,266.085,0.0102451
668843,266.085,0.035402
668842,266.085,0.035402
668841,266.086,0.0112826
668839,266.086,0.0112826
668855,266.192,0.0212389
668855,266.192,0.0212389
668853,266.192,0.00994118
668852,266.192,0.00994118
668851,266.192,0.0113762
668850,266.192,0.0113762
668849,266.192,0.0113703
668848,266.192,0.0113703
668846,266.193,0.0308287
668845,266.193,0.0308287
668844,266.193,0.0120467
668843,266.193,0.0120467
668842,266.193,0.018862
668841,266.193,0.018862
668839,266.193,0.011251
668855,266.299,0.011251
668855,266.299,0.0114184
668853,266.299,0.0114184
668852,266.299,0.0319955
668851,266.299,0.0319955
668850,266.299,0.0109522
668849,266.299,0.0109522
668848,266.299,0.0106059
668846,266.3,0.0106059
668845,266.3,0.0100482
668844,266.3,0.0100482
668843,266.3,0.0100745
668842,266.3,0.0100745
668841,266.3,0.00998539
668839,266.3,0.00998539
668855,266.407,0.014351
668855,266.407,0.014351
668853,266.407,0.0097976
668852,266.407,0.0097976
668851,266.407,0.00942182
668850,266.407,0.00942182
668849,266.407,0.00954271
668848,266.407,0.00954271
668846,266.407,0.00971365
668845,266.407,0.00971365
668844,266.407,0.0120247
668843,266.407,0.0120247
668842,266.407,0.00934945
668841,266.407,0.00934945
668839,266.407,0.00642541
668855,266.514,0.00642541
668855,266.514,0.00949142
668853,266.514,0.00949142
668852,266.514,0.0129041
668851,266.514,0.0129041
668850,266.514,0.0118103
668849,266.514,0.0118103
668848,266.514,0.00542457
668846,266.514,0.00542457
668845,266.514,0.0099751
668844,266.514,0.0099751
668843,266.514,0.0100109
668842,266.514,0.0100109
668841,266.514,0.0108584
668839,266.514,0.0108584
668855,266.621,0.00531252
668855,266.621,0.00531252
668853,266.621,0.0303596
668852,266.621,0.0303596
668851,266.621,0.0439104
668850,266.621,0.0439104
668849,266.621,0.00651321
668848,266.621,0.00651321
668846,266.621,0.0131293
668845,266.622,0.0131293
668844,266.622,0.0114653
668843,266.622,0.0114653
668842,266.622,0.0318949
668841,266.622,0.0318949
668839,266.622,0.0143324
668855,266.729,0.0143324
668855,266.729,0.0449143
668853,266.729,0.0449143
668852,266.729,0.00903222
668851,266.729,0.00903222
668850,266.729,0.00936611
668849,266.729,0.00936611
668848,266.729,0.0199485
668846,266.729,0.0199485
668845,266.729,0.0117755
